Água Rasa;84963;6.9;12313.5
Alto de Pinheiros;43117;7.7;5599.61
Anhanguera;65859;33.3;1977.75
Aricanduva;89622;6.6;13579.1
Artur Alvim;105269;6.6;15949.8
Barra Funda;14383;5.6;2568.39
Bela Vista;69460;2.6;26715.4
Belém;45057;6;7509.5
Bom Retiro;33892;4;8473
Brás;29265;3.5;8361.43
Brasilândia;264918;21;12615.1
Butantã;54196;12.5;4335.68
Cachoeirinha;143523;13.3;10791.2
Cambuci;36948;3.9;9473.85
Campo Belo;65752;8.8;7471.82
Campo Grande;100713;13.1;7688.02
Campo Limpo;211361;12.8;16512.6
Cangaíba;136623;16;8538.94
Capão Redondo;268729;13.6;19759.5
Carrão;83281;7.5;11104.1
Casa Verde;85624;7.1;12059.7
Cidade Ademar;266681;12;22223.4
Cidade Dutra;196360;29.3;6701.71
Cidade Líder;126597;10.2;12411.5
Cidade Tiradentes;211501;15;14100.1
Consolação;57365;3.7;15504.1
Cursino;109088;12.8;8522.5
Ermelino Matarazzo;113615;8.7;13059.2
Freguesia do Ó;142327;10.5;13555
Grajaú;360787;92;3921.6
Guaianazes;164512;8.6;19129.3
Iguatemi;127662;19.6;6513.37
Ipiranga;106865;10.5;10177.6
Itaim Bibi;92570;9.9;9350.51
Itaim Paulista;224074;12;18672.8
Itaquera;204871;14.6;14032.3
Jabaquara;223780;14.1;15870.9
Jaçanã;94609;7.8;12129.4
Jaguara;24895;4.6;5411.96
Jaguaré;49863;6.6;7555
Jaraguá;184818;27.6;6696.3
Jardim Ângela;295434;37.4;7899.3
Jardim Helena;135043;9.1;14839.9
Jardim Paulista;88692;6.1;14539.7
Jardim São Luís;267871;24.7;10845
José Bonifácio;124122;14.1;8802.98
Lajeado;103996;9.2;11303.9
Lapa;65739;10;6573.9
Liberdade;69092;3.7;18673.5
Limão;80229;6.3;12734.8
Mandaqui;107580;13.1;8212.21
Marsilac;8258;200;41.29
Moema;83368;9;9263.11
Mooca;75724;7.7;9834.29
Morumbi;46957;11.4;4119.04
Parelheiros;131183;153.5;854.612
Pari;17299;2.9;5965.17
Parque do Carmo;68258;15.4;4432.34
Pedreira;144317;18.7;7717.49
Penha;127820;11.3;11311.5
Perdizes;111161;6.10;18223.1
Perus;80187;23.9;3355.1
Pinheiros;65364;8;8170.5
Pirituba;167931;17.1;9820.53
Ponte Rasa;93894;6.4;14670.9
Raposo Tavares;100164;12.6;7949.52
República;56981;2.3;24774.3
Rio Pequeno;118459;9.7;12212.3
Sacomã;247851;14.2;17454.3
Santa Cecília;83717;3.9;21465.9
Santana;118797;12.6;9428.33
Santo Amaro;71560;15.6;4587.18
São Domingos;84843;10;8484.3
São Lucas;142347;9.9;14378.5
São Mateus;155140;13.2;11753
São Miguel;92081;7.5;12277.5
São Rafael;143992;13;11076.3
Sapopemba;284524;13.5;21075.9
Saúde;130780;8.9;14694.4
Sé;23651;2.1;11262.4
Socorro;37783;12.90;2928.91
Tatuapé;91672;8.2;11179.5
Tremembé;197258;56.3;3503.69
Tucuruvi;98438;9;10937.6
Vila Andrade;127015;10.3;12331.6
Vila Curuçá;149053;9.7;15366.3
Vila Formosa;94799;7.4;12810.7
Vila Guilherme;54331;6.9;7874.06
Vila Jacuí;142372;7.7;18489.9
Vila Leopoldina;39485;7.2;5484.03
Vila Maria;113463;11.8;9615.51
Vila Mariana;130484;8.6;15172.6
Vila Matilde;104967;8.9;11794
Vila Medeiros;129919;7.7;16872.6
Vila Prudente;104242;9.9;10529.5
Vila Sônia;108441;9.9;10953.6
